"entry_id","contest_id","contest_name","PG","PG","SG","SG","SF","SF","PF","PF","C","","Instructions"
"1563170088","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","1) Edit your lineup by inserting any player from this list into their appropriate position columns"
"1563170076","29270-221281711","NBA Beginner Mini Swat (Top 60 Win)","29270-9524","29270-12474","29270-24544","29270-9556","29270-23572","29270-9874","29270-23831","29270-55062","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited"
"","","","","","","","","","","","","","4) You can not use this form to create new entries"
"","","","","","","","","","","","",""
"","","","","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","","","","29270-84679:Marvin Bagley III","29270-84679","PF","Marvin","Marvin Bagley III","Bagley III","28.049999237060547","2","4200","SAC@OKC","SAC","OKC","","","","",""
"","","","","","","","","","","","","","29270-84682:Michael Porter Jr.","29270-84682","PF","Michael","Michael Porter Jr.","Porter Jr.","null","null","4200","GS@DEN","DEN","GS","O","Back","","",""
"","","","","","","","","","","","","","29270-58134:Justin Jackson","29270-58134","SF","Justin","Justin Jackson","Jackson","14.100000381469727","2","4100","SAC@OKC","SAC","OKC","","","","",""
"","","","","","","","","","","","","","29270-9664:Andre Iguodala","29270-9664","SG","Andre","Andre Iguodala","Iguodala","7.400000095367432","1","4100","GS@DEN","GS","DEN","GTD","Calf","","",""
"","","","","","","","","","","","","","29270-58576:Kevon Looney","29270-58576","PF","Kevon","Kevon Looney","Looney","21.950000762939453","2","4100","GS@DEN","GS","DEN","","","","",""
"","","","","","","","","","","","","","29270-23825:Nerlens Noel","29270-23825","C","Nerlens","Nerlens Noel","Noel","18.450000762939453","2","4000","SAC@OKC","OKC","SAC","","","","",""
"","","","","","","","","","","","","","29270-40769:Jordan Bell","29270-40769","C","Jordan","Jordan Bell","Bell","5.400000095367432","1","4000","GS@DEN","GS","DEN","","","","",""
"","","","","","","","","","","","","","29270-16201:Michael Carter-Williams","29270-16201","PG","Michael","Michael Carter-Williams","Carter-Williams","11","2","4000","HOU@LAC","HOU","LAC","","","","",""
"","","","","","","","","","","","","","29270-63826:Boban Marjanovic","29270-63826","C","Boban","Boban Marjanovic","Marjanovic","22.299999237060547","2","4000","HOU@LAC","LAC","HOU","","","","",""
"","","","","","","","","","","","","","29270-9731:Kosta Koufos","29270-9731","C","Kosta","Kosta Koufos","Koufos","19.223944005831868","71","3900","SAC@OKC","SAC","OKC","O","Hamstring","","",""
