"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"30347-14523","PG","Reggie","Reggie Jackson","Jackson","24.050000871930802","14","5300","DET@HOU","DET","HOU","","","","",""
"30347-15691","C","Cody","Cody Zeller","Zeller","21.825000762939453","16","5200","IND@CHA","CHA","IND","","","","",""
"30347-9624","PG","Darren","Darren Collison","Collison","21.80000035903033","17","5200","IND@CHA","IND","CHA","","","","",""
"30347-12342","PF","Al-Farouq","Al-Farouq Aminu","Aminu","22.99411728802849","17","5100","POR@MIL","POR","MIL","","","","",""
"30347-14559","PG","Isaiah","Isaiah Thomas","Thomas","23.590625762939453","32","5100","DEN@MIN","DEN","MIN","O","Hip","","",""
"30347-23831","PF","Jerami","Jerami Grant","Grant","23.84375","16","5100","OKC@GS","OKC","GS","GTD","Ankle","","",""
"30347-63126","SF","Cedi","Cedi Osman","Osman","20.838461068960335","13","5100","LAL@CLE","CLE","LAL","","","","",""
"30347-66236","PF","John","John Collins","Collins","22.5","2","5100","TOR@ATL","ATL","TOR","","","","",""
"30347-15405","PF","JaMychal","JaMychal Green","Green","24.325000762939453","4","5000","MEM@SA","MEM","SA","","","","",""
"30347-9508","SF","Carmelo","Carmelo Anthony","Anthony","23.13000030517578","10","5000","DET@HOU","HOU","DET","","","","",""
"30347-9556","SG","Eric","Eric Gordon","Gordon","22.71666717529297","12","5000","DET@HOU","HOU","DET","","","","",""
"30347-16301","C","Dewayne","Dewayne Dedmon","Dedmon","22.318181818181817","11","5000","TOR@ATL","ATL","TOR","","","","",""
"30347-16359","SG","Malcolm","Malcolm Brogdon","Brogdon","24.068750381469727","16","5000","POR@MIL","MIL","POR","","","","",""
"30347-14530","SF","Bojan","Bojan Bogdanovic","Bogdanovic","22.252940458409928","17","4900","IND@CHA","IND","CHA","","","","",""
"30347-9455","PG","Rajon","Rajon Rondo","Rondo","24.863636363636363","11","4900","LAL@CLE","LAL","CLE","O","Hand","","",""
"30347-9666","PF","Thaddeus","Thaddeus Young","Young","21.99411728802849","17","4900","IND@CHA","IND","CHA","","","","",""
