"","","","","","","","","","","","","","29261-67026:Jaylen Brown","29261-67026","SG","Jaylen","Jaylen Brown","Brown","17.899999618530273","2","5300","BOS@NY","BOS","NY","","","","",""
"","","","","","","","","","","","","","29261-15501:Allen Crabbe","29261-15501","SG","Allen","Allen Crabbe","Crabbe","11.800000190734863","1","5200","BKN@IND","BKN","IND","","","","",""
"","","","","","","","","","","","","","29261-84676:Wendell Carter Jr.","29261-84676","PF","Wendell","Wendell Carter Jr.","Carter Jr.","18.100000381469727","1","5200","DET@CHI","CHI","DET","","","","",""
"","","","","","","","","","","","","","29261-14559:Isaiah Thomas","29261-14559","PG","Isaiah","Isaiah Thomas","Thomas","23.590625762939453","32","5200","PHO@DEN","DEN","PHO","O","Hip","","",""
"","","","","","","","","","","","","","29261-9655:JJ Redick","29261-9655","SG","JJ","JJ Redick","Redick","18.5","2","5200","ORL@PHI","PHI","ORL","","","","",""
"","","","","","","","","","","","","","29261-9666:Thaddeus Young","29261-9666","PF","Thaddeus","Thaddeus Young","Young","16.649999618530273","2","5200","BKN@IND","IND","BKN","","","","",""
"","","","","","","","","","","","","","29261-60021:Pascal Siakam","29261-60021","PF","Pascal","Pascal Siakam","Siakam","16.200000762939453","2","5100","TOR@WAS","TOR","WAS","","","","",""
"","","","","","","","","","","","","","29261-84675:Mohamed Bamba","29261-84675","C","Mohamed","Mohamed Bamba","Bamba","19.200000762939453","2","5100","ORL@PHI","ORL","PHI","","","","",""
"","","","","","","","","","","","","","29261-15559:Jeremy Lamb","29261-15559","SG","Jeremy","Jeremy Lamb","Lamb","20.399999618530273","2","5100","CHA@MIA","CHA","MIA","","","","",""
"","","","","","","","","","","","","","29261-9508:Carmelo Anthony","29261-9508","SF","Carmelo","Carmelo Anthony","Anthony","14.800000190734863","1","5100","HOU@LAL","HOU","LAL","","","","",""
"","","","","","","","","","","","","","29261-80813:Frank Ntilikina","29261-80813","PG","Frank","Frank Ntilikina","Ntilikina","24.350000381469727","2","5100","BOS@NY","NY","BOS","","","","",""
"","","","","","","","","","","","","","29261-22541:Kelly Olynyk","29261-22541","PF","Kelly","Kelly Olynyk","Olynyk","11.25","2","5000","CHA@MIA","MIA","CHA","","","","",""
"","","","","","","","","","","","","","29261-9758:Danny Green","29261-9758","SG","Danny","Danny Green","Green","29.25","2","5000","TOR@WAS","TOR","WAS","","","","",""
"","","","","","","","","","","","","","29261-14511:Markieff Morris","29261-14511","PF","Markieff","Markieff Morris","Morris","23","1","5000","TOR@WAS","WAS","TOR","","","","",""
"","","","","","","","","","","","","","29261-16220:Dion Waiters","29261-16220","SG","Dion","Dion Waiters","Waiters","23.89666748046875","30","5000","CHA@MIA","MIA","CHA","O","Ankle","","",""
"","","","","","","","","","","","","","29261-80811:Jonathan Isaac","29261-80811","SF","Jonathan","Jonathan Isaac","Isaac","11.350000381469727","2","5000","ORL@PHI","ORL","PHI","","","","",""
"","","","","","","","","","","","","","29261-16376:Dorian Finney-Smith","29261-16376","SF","Dorian","Dorian Finney-Smith","Finney-Smith","26.100000381469727","1","5000","MIN@DAL","DAL","MIN","","","","",""
"","","","","","","","","","","","","","29261-9799:Wesley Matthews","29261-9799","SG","Wesley","Wesley Matthews","Matthews","25.899999618530273","1","4900","MIN@DAL","DAL","MIN","","","","",""
"","","","","","","","","","","","","","29261-23670:Marcus Smart","29261-23670","SG","Marcus","Marcus Smart","Smart","14.75","2","4900","BOS@NY","BOS","NY","","","","",""
"","","","","","","","","","","","","","29261-9451:Marvin Williams","29261-9451","PF","Marvin","Marvin Williams","Williams","20.049999237060547","2","4900","CHA@MIA","CHA","MIA","","","","",""
"","","","","","","","","","","","","","29261-9636:Wilson Chandler","29261-9636","SF","Wilson","Wilson Chandler","Chandler","21.75135102143159","74","4900","ORL@PHI","PHI","ORL","O","Hamstring","","",""
"","","","","","","","","","","","","","29261-49675:Derrick White","29261-49675","PG","Derrick","Derrick White","White","6.688235114602482","17","4800","SA@POR","SA","POR","O","Heel","","",""
"","","","","","","","","","","","","","29261-14512:Marcus Morris","29261-14512","PF","Marcus","Marcus Morris","Morris","22.950000762939453","2","4800","BOS@NY","BOS","NY","","","","",""
"","","","","","","","","","","","","","29261-42677:Terry Rozier","29261-42677","PG","Terry","Terry Rozier","Rozier","22.799999237060547","2","4800","BOS@NY","BOS","NY","","","","",""
"","","","","","","","","","","","","","29261-9481:Taj Gibson","29261-9481","PF","Taj","Taj Gibson","Gibson","20.899999618530273","2","4800","MIN@DAL","MIN","DAL","","","","",""
"","","","","","","","","","","","","","29261-9495:J.J. Barea","29261-9495","PG","J.J.","J.J. Barea","Barea","29.600000381469727","1","4800","MIN@DAL","DAL","MIN","","","","",""
"","","","","","","","","","","","","","29261-16178:Maurice Harkless","29261-16178","SF","Maurice","Maurice Harkless","Harkless","25.200000762939453","1","4800","SA@POR","POR","SA","GTD","Knee","","",""
"","","","","","","","","","","","","","29261-9585:Dwyane Wade","29261-9585","SG","Dwyane","Dwyane Wade","Wade","24.399999618530273","2","4800","CHA@MIA","MIA","CHA","","","","",""
"","","","","","","","","","","","","","29261-18821:Jonathon Simmons","29261-18821","SF","Jonathon","Jonathon Simmons","Simmons","16.799999237060547","2","4800","ORL@PHI","ORL","PHI","O","Personal","","",""
"","","","","","","","","","","","","","29261-58350:Stanley Johnson","29261-58350","SF","Stanley","Stanley Johnson","Johnson","19.121739484261774","69","4800","DET@CHI","DET","CHI","","","","",""
"","","","","","","","","","","","","","29261-9739:JaVale McGee","29261-9739","C","JaVale","JaVale McGee","McGee","36.099998474121094","1","4700","HOU@LAL","LAL","HOU","","","","",""
"","","","","","","","","","","","","","29261-58461:Trey Lyles","29261-58461","PF","Trey","Trey Lyles","Lyles","20.399999618530273","1","4700","PHO@DEN","DEN","PHO","","","","",""
"","","","","","","","","","","","","","29261-84674:Kevin Knox","29261-84674","PF","Kevin","Kevin Knox","Knox","20.600000381469727","2","4700","BOS@NY","NY","BOS","","","","",""
"","","","","","","","","","","","","","29261-58084:Justise Winslow","29261-58084","SF","Justise","Justise Winslow","Winslow","20.279411764705884","68","4700","CHA@MIA","MIA","CHA","O","Hamstring","","",""
