,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15
53,31306-66968,SF,Derrick,Derrick Jones Jr.,Jones Jr.,16.85,20,5200,MIL@MIA,MIA,MIL,,,,,
54,31306-9648,SF,Jeff,Jeff Green,Green,20.686665852864586,30,5200,PHO@WAS,WAS,PHO,,,,,
55,31306-80817,PF,Bam,Bam Adebayo,Adebayo,22.963334147135416,30,5200,MIL@MIA,MIA,MIL,,,,,
56,31306-9799,SG,Wesley,Wesley Matthews,Matthews,22.865384615384613,26,5100,DAL@GS,DAL,GS,GTD,Foot,,,
57,31306-14503,C,Jonas,Jonas Valanciunas,Valanciunas,25.19000040690104,30,5000,TOR@PHI,TOR,PHI,O,Thumb,,,
58,31306-14511,PF,Markieff,Markieff Morris,Morris,22.380644767515122,31,5000,PHO@WAS,WAS,PHO,,,,,
59,31306-9495,PG,J.J.,J.J. Barea,Barea,23.01481571903935,27,5000,DAL@GS,DAL,GS,,,,,
60,31306-16220,SG,Dion,Dion Waiters,Waiters,23.89666748046875,30,4900,MIL@MIA,MIA,MIL,O,Ankle,,,
61,31306-23407,PF,PJ,P.J. Tucker,Tucker,20.732258458291327,31,4900,SA@HOU,HOU,SA,,,,,
62,31306-9585,SG,Dwyane,Dwyane Wade,Wade,25.118180708451703,22,4900,MIL@MIA,MIA,MIL,,,,,
63,31306-9621,C,Brook,Brook Lopez,Lopez,24.30322659400202,31,4900,MIL@MIA,MIL,MIA,,,,,
64,31306-58153,SF,Kelly,Kelly Oubre,Oubre Jr.,23.28333333333333,30,4800,PHO@WAS,PHO,WAS,,,,,
65,31306-23447,PF,Richaun,Richaun Holmes,Holmes,17.774193548387093,31,4700,PHO@WAS,PHO,WAS,,,,,
66,31306-12337,C,Greg,Greg Monroe,Monroe,9.711765064912685,17,4600,TOR@PHI,TOR,PHI,,,,,
67,31306-67312,C,Thomas,Thomas Bryant,Bryant,14.745454268022018,22,4600,PHO@WAS,WAS,PHO,,,,,
68,31306-9758,SG,Danny,Danny Green,Green,20.92727198745265,33,4500,TOR@PHI,TOR,PHI,GTD,Knee,,,
69,31306-23097,PG,Tomas,Tomas Satoransky,Satoransky,14.471875190734865,32,4500,PHO@WAS,WAS,PHO,,,,,
70,31306-23282,SF,Sam,Sam Dekker,Dekker,15.540000406901042,15,4400,PHO@WAS,WAS,PHO,,,,,
71,31306-9570,C,Pau,Pau Gasol,Gasol,21.66666666666667,9,4400,SA@HOU,SA,HOU,O,Foot,,,
72,31306-15744,SG,Rodney,Rodney McGruder,McGruder,21.52333374023437,30,4400,MIL@MIA,MIA,MIL,,,,,
73,31306-84670,SF,Mikal,Mikal Bridges,Bridges,16.665624618530273,32,4300,PHO@WAS,PHO,WAS,,,,,
74,31306-9956,SG,Wayne,Wayne Ellington,Ellington,16.573683889288652,19,4300,MIL@MIA,MIA,MIL,,,,,
75,31306-49675,PG,Derrick,Derrick White,White,15.554166158040367,24,4200,SA@HOU,SA,HOU,,,,,
76,31306-18600,PG,Tyler,Tyler Johnson,Johnson,20.94782555621603,23,4200,MIL@MIA,MIA,MIL,,,,,
77,31306-9448,SG,Jamal,Jamal Crawford,Crawford,13.428571428571427,28,4200,PHO@WAS,PHO,WAS,,,,,
78,31306-9636,SF,Wilson,Wilson Chandler,Chandler,16.433333623976935,21,4200,TOR@PHI,PHI,TOR,,,,,
79,31306-17894,C,Mike,Mike Muscala,Muscala,18.296154315655052,26,4200,TOR@PHI,PHI,TOR,,,,,
80,31306-15993,SG,Pat,Pat Connaughton,Connaughton,17.113043743631113,23,4100,MIL@MIA,MIL,MIA,,,,,
